State,Year,Quarter,Imports_Manufactured_Commodities,Imports_Non_Manufactured_Commodities,Imports_Total_Commodities
Mississippi,2021,2,4207.4,489,4696.3
Missouri,2021,2,4840.1,994.4,5834.5
Montana,2021,2,397.8,1309.4,1707.1
Nebraska,2021,2,1107.9,74,1181.9
Nevada,2021,2,4021.9,124.8,4146.7
New Hampshire,2021,2,1875,220.4,2095.4
New Jersey,2021,2,34748,3997.4,38745.4
New Mexico,2021,2,1401.7,142.2,1543.9
New York,2021,2,32789.1,4696,37485.2
North Carolina,2021,2,16743.1,741.2,17484.2
North Dakota,2021,2,563.2,291.2,854.4
Ohio,2021,2,17672.4,1265.8,18938.2
Oklahoma,2021,2,2089,1990.5,4079.6
Oregon,2021,2,5361.5,623.9,5985.4
Pennsylvania,2021,2,21514.6,2010.6,23525.2
Rhode Island,2021,2,2285,66.6,2351.6
South Carolina,2021,2,11853.6,815.5,12669
South Dakota,2021,2,415.4,33.9,449.2
Tennessee,2021,2,22267.9,649.3,22917.1
Texas,2021,2,65998.4,10886.3,76884.8
Utah,2021,2,4099,420.6,4519.6
Vermont,2021,2,595.5,208.4,803.8
Virginia,2021,2,8302.3,593.5,8895.7
Washington,2021,2,10605.3,4305.3,14910.5
West Virginia,2021,2,803.7,78.3,882
Wisconsin,2021,2,8708.8,343.4,9052.2
Wyoming,2021,2,213.2,248.2,461.4
District of Columbia,2021,2,89.4,24.4,113.9
Alabama,2021,1,6607.6,682.2,7289.8
Alaska,2021,1,607.4,34.1,641.6
Arizona,2021,1,4903.3,1622.6,6526
Arkansas,2021,1,2206.5,152.3,2358.9
California,2021,1,93239.9,11083.5,104323.3
Colorado,2021,1,2718.3,664.3,3382.6
Connecticut,2021,1,4175.4,452,4627.3
Delaware,2021,1,2003.4,703.1,2706.5
Florida,2021,1,16965.8,4024.5,20990.2
Georgia,2021,1,27552.2,929.9,28482.1
Hawaii,2021,1,244.1,238.5,482.6
Idaho,2021,1,1098.2,101.4,1199.5
Illinois,2021,1,33536.6,8473.5,42010.1
Indiana,2021,1,17415.6,800.3,18215.7
Iowa,2021,1,2281.1,194.9,2476.1
Kansas,2021,1,2353.2,294.7,2647.9
Kentucky,2021,1,13803.1,1702.1,15505.1
Louisiana,2021,1,5010.6,1557.6,6568.2
Maine,2021,1,1144.2,290.6,1434.6
Maryland,2021,1,8173.9,533,8706.9
Massachusetts,2021,1,8216.9,1171.5,9388.4
Michigan,2021,1,29631.4,2324.1,31955.4
Minnesota,2021,1,5642.5,1879.2,7521.9
Mississippi,2021,1,3819.3,573.5,4392.8
Missouri,2021,1,5538,663.6,6201.6
Montana,2021,1,295.5,973.5,1268.9
Nebraska,2021,1,969.7,42.2,1011.9
Nevada,2021,1,3369.9,392.9,3762.8
New Hampshire,2021,1,1696.9,118.9,1815.8
New Jersey,2021,1,31558.3,3381.2,34939.5
New Mexico,2021,1,1086.5,256.1,1342.6
New York,2021,1,30638.2,4316.9,34955.1
North Carolina,2021,1,14851.3,1945.6,16796.8
North Dakota,2021,1,504.6,290.2,794.8
Ohio,2021,1,16626.3,1020.9,17647.1
Oklahoma,2021,1,1911.1,1684.4,3595.6
Oregon,2021,1,4422.3,406.9,4829.1
Pennsylvania,2021,1,22370.5,1821.1,24191.5
Rhode Island,2021,1,2136.1,66.5,2202.7
South Carolina,2021,1,10989.7,824.9,11814.7
South Dakota,2021,1,384.7,25.5,410.3
Tennessee,2021,1,22351.2,714.6,23065.8
Texas,2021,1,58607.1,8205,66812
Utah,2021,1,3855.3,380.7,4236.1
Vermont,2021,1,522.8,239.2,761.9
Virginia,2021,1,7307.3,525.4,7832.7
Washington,2021,1,9329.4,3692.1,13021.5
West Virginia,2021,1,753,45.7,798.7
Wisconsin,2021,1,7259.3,368.9,7628.1
Wyoming,2021,1,179.2,161.8,340.9
District of Columbia,2021,1,64.9,16.2,81
Alabama,2020,4,6981.7,652.7,7634.4
Alaska,2020,4,560.7,19.6,580.3
Arizona,2020,4,5418.9,1291.7,6710.6
Arkansas,2020,4,2262.4,93.8,2356.2
California,2020,4,104377.9,8445.1,112823
Colorado,2020,4,2608.6,563.2,3171.8
Connecticut,2020,4,4415.3,437.2,4852.5
Delaware,2020,4,1812.7,630.4,2443.1
Florida,2020,4,17518.8,3477.4,20996.2
Georgia,2020,4,27084.6,903,27987.6
Hawaii,2020,4,308.8,284.4,593.2
Idaho,2020,4,1269,106.4,1375.4
Illinois,2020,4,38190,8357.1,46547.1
Indiana,2020,4,16503.7,743.6,17247.3
Iowa,2020,4,2247,191.1,2438.1
Kansas,2020,4,2435.1,262.5,2697.6
Kentucky,2020,4,14218.2,1716.2,15934.4
Louisiana,2020,4,3394.1,1293.9,4688
Maine,2020,4,1013.1,226.6,1239.7
Maryland,2020,4,9036.1,450,9486.1
Massachusetts,2020,4,8134.4,1175.7,9310.1
Michigan,2020,4,32245.1,1974.4,34219.5
Minnesota,2020,4,6700.7,1441.9,8142.6
Mississippi,2020,4,4033.5,371.5,4405
Missouri,2020,4,4280.7,636.9,4917.6
Montana,2020,4,221.3,869,1090.3
Nebraska,2020,4,931.1,53.9,985
Nevada,2020,4,3285.2,110.8,3396
New Hampshire,2020,4,1700.2,109.3,1809.5
New Jersey,2020,4,30069.7,2846.2,32915.9
New Mexico,2020,4,1092.4,315.7,1408.1
New York,2020,4,32300.8,3947.8,36248.6
North Carolina,2020,4,14159.9,1832.9,15992.8
North Dakota,2020,4,392.5,272.2,664.7
Ohio,2020,4,17011.2,1063.2,18074.4
Oklahoma,2020,4,1958.9,1208.2,3167.1
Oregon,2020,4,3996,404.1,4400.1
Pennsylvania,2020,4,20938,1271.5,22209.5
Rhode Island,2020,4,2420.7,92.5,2513.2
South Carolina,2020,4,10527.6,758.3,11285.9
South Dakota,2020,4,370.6,29.7,400.3
Tennessee,2020,4,24001.9,681.1,24683
Texas,2020,4,59218.6,7842.3,67060.9
Utah,2020,4,4007.8,399.4,4407.2
Vermont,2020,4,530.6,183.2,713.8
Virginia,2020,4,7662.8,539.7,8202.5
Washington,2020,4,11004.2,3423.8,14428
West Virginia,2020,4,707.2,38.2,745.4
Wisconsin,2020,4,7379.6,287.3,7666.9
Wyoming,2020,4,150.6,108.7,259.3
District of Columbia,2020,4,90.3,24.1,114.4
Alabama,2020,3,5942.7,530,6472.7
Alaska,2020,3,644.8,34.7,679.5
Arizona,2020,3,4921.8,1165.8,6087.6
Arkansas,2020,3,2164.2,66.3,2230.5
California,2020,3,101698.6,7930.8,109629.4
Colorado,2020,3,2719.3,576.2,3295.5
Connecticut,2020,3,3723.3,415.2,4138.5
Delaware,2020,3,1923.2,473.8,2397
Florida,2020,3,16094.2,3232.7,19326.9
Georgia,2020,3,24284.9,925.1,25210
Hawaii,2020,3,232.9,174.4,407.3
Idaho,2020,3,1336.5,117.3,1453.8
Illinois,2020,3,32037.4,6956.7,38994.1
Indiana,2020,3,15094,729.9,15823.9
Iowa,2020,3,2127.8,144.4,2272.2
Kansas,2020,3,2252.4,300,2552.4
Kentucky,2020,3,12317.3,1855.7,14173
Louisiana,2020,3,3424.2,1369.7,4793.9
Maine,2020,3,1029.9,160.8,1190.7
Maryland,2020,3,6987.2,435.7,7422.9
Massachusetts,2020,3,7953.4,1319.8,9273.2
Michigan,2020,3,30421.6,2297.9,32719.5
Minnesota,2020,3,6237.8,1533.2,7771
Mississippi,2020,3,4000,386.8,4386.8
Missouri,2020,3,4374.3,798.9,5173.2
Montana,2020,3,246.7,857.2,1103.9
Nebraska,2020,3,879.4,46,925.4
Nevada,2020,3,3055.6,113.8,3169.4
New Hampshire,2020,3,1430.8,148.5,1579.3
New Jersey,2020,3,27084.2,2636.6,29720.8
New Mexico,2020,3,1075.4,137,1212.4
New York,2020,3,35479.9,3376.7,38856.6
North Carolina,2020,3,15241.9,1723.4,16965.3
North Dakota,2020,3,491.9,153.4,645.3
Ohio,2020,3,16620.2,1103,17723.2
Oklahoma,2020,3,1839.8,887.9,2727.7
Oregon,2020,3,3891.3,414.3,4305.6
Pennsylvania,2020,3,20341,1152,21493
Rhode Island,2020,3,2199.7,85,2284.7
South Carolina,2020,3,10182.6,572.4,10755
South Dakota,2020,3,325.2,21.9,347.1
Tennessee,2020,3,19949.3,667.5,20616.8
Texas,2020,3,57023,7359.3,64382.3
Utah,2020,3,3940.6,398.5,4339.1
Vermont,2020,3,489.7,171.4,661.1
Virginia,2020,3,7187.3,445.7,7633
Washington,2020,3,10194,2886.1,13080.1
West Virginia,2020,3,674.5,68.8,743.3
Wisconsin,2020,3,6691.4,302.7,6994.1
Wyoming,2020,3,150.3,130.4,280.7
District of Columbia,2020,3,99.9,27.6,127.5
Alabama,2020,2,4336.2,395,4731.2
Alaska,2020,2,522.2,30.4,552.6
Arizona,2020,2,4438.3,1519.9,5958.2
Arkansas,2020,2,1887,74.5,1961.5
California,2020,2,78882.2,7309,86191.2
Colorado,2020,2,2185,340.6,2525.6
Connecticut,2020,2,3792.2,343.4,4135.6
Delaware,2020,2,1683.8,387.7,2071.5
Florida,2020,2,12640.8,2826.9,15467.7
Georgia,2020,2,20856.7,906.9,21763.6
Hawaii,2020,2,202.1,45.2,247.3
Idaho,2020,2,1316.6,139.3,1455.9
Illinois,2020,2,29110,4608.5,33718.5
Indiana,2020,2,14681.3,641.7,15323
Iowa,2020,2,1879.5,153.3,2032.8
Kansas,2020,2,2197.9,258.2,2456.1
Kentucky,2020,2,10335.8,1477.6,11813.4
Louisiana,2020,2,3412,1587.8,4999.8
Maine,2020,2,803.5,212.2,1015.7
Maryland,2020,2,5365.9,473.3,5839.2
Massachusetts,2020,2,6845.3,1325.7,8171
Michigan,2020,2,15510.8,1504,17014.8
Minnesota,2020,2,4787.2,1007.5,5794.7
Mississippi,2020,2,2953.4,201.9,3155.3
Missouri,2020,2,3587.5,395.7,3983.2
Montana,2020,2,210,473.5,683.5
Nebraska,2020,2,830.9,47.2,878.1
Nevada,2020,2,3137.5,89.9,3227.4
New Hampshire,2020,2,1306.2,108.3,1414.5
New Jersey,2020,2,21354.3,2300.6,23654.9
New Mexico,2020,2,844,47.6,891.6
New York,2020,2,46101.6,2568.8,48670.4
North Carolina,2020,2,12324.7,825.9,13150.6
North Dakota,2020,2,426.2,261.5,687.7
Ohio,2020,2,12890.1,1118.9,14009
Oklahoma,2020,2,1516.8,515,2031.8
Oregon,2020,2,3946.2,402.7,4348.9
Pennsylvania,2020,2,17706.9,1592,19298.9
Rhode Island,2020,2,1357.7,36.4,1394.1
South Carolina,2020,2,7335.3,528,7863.3
South Dakota,2020,2,242.3,25,267.3
Tennessee,2020,2,17061.8,596.1,17657.9
Texas,2020,2,44017.5,6965,50982.5
Utah,2020,2,2897.1,317,3214.1
Vermont,2020,2,397.4,148.3,545.7
Virginia,2020,2,5776.3,497,6273.3
Washington,2020,2,7595.2,2457.3,10052.5
West Virginia,2020,2,518.2,48.5,566.7
Wisconsin,2020,2,5644.2,282.4,5926.6
Wyoming,2020,2,162.1,72.9,235
District of Columbia,2020,2,165.8,19,184.8
Alabama,2020,1,5966.6,707.2,6673.8
Alaska,2020,1,522.4,51.9,574.3
Arizona,2020,1,4876.6,2053.1,6929.7
Arkansas,2020,1,1954.1,137.1,2091.2
California,2020,1,75786.4,11592.2,87378.6
Colorado,2020,1,2433.3,601.7,3035
Connecticut,2020,1,4254.1,592.4,4846.5
Delaware,2020,1,1570.7,629.7,2200.4
Florida,2020,1,16472.7,4196.4,20669.1
Georgia,2020,1,22929.6,1048.1,23977.7
Hawaii,2020,1,400.1,286.4,686.5
Idaho,2020,1,1096.8,116.6,1213.4
Illinois,2020,1,27421.9,9310.5,36732.4
Indiana,2020,1,14769.3,725.7,15495
Iowa,2020,1,2027.5,195.7,2223.2
Kansas,2020,1,2344.7,432.2,2776.9
Kentucky,2020,1,11669.6,1355,13024.6
Louisiana,2020,1,3950,2342.4,6292.4
Maine,2020,1,1073.8,232.5,1306.3
Maryland,2020,1,7485.6,411.7,7897.3
Massachusetts,2020,1,7111.4,1157.1,8268.5
Michigan,2020,1,29764.2,2233.5,31997.7
Minnesota,2020,1,4998,1444.9,6442.9
Mississippi,2020,1,3498.1,353.2,3851.3
Missouri,2020,1,3807.3,879,4686.3
Montana,2020,1,208.1,869.3,1077.4
Nebraska,2020,1,886.7,58.2,944.9
Nevada,2020,1,3008.1,116.5,3124.6
New Hampshire,2020,1,1997.7,136.4,2134.1
New Jersey,2020,1,25482.9,3139.9,28622.8
New Mexico,2020,1,992.6,81.3,1073.9
New York,2020,1,25868.7,4188.2,30056.9
North Carolina,2020,1,14017.7,1037,15054.7
North Dakota,2020,1,518.6,341,859.6
Ohio,2020,1,14591.6,1117.7,15709.3
Oklahoma,2020,1,1712.3,1184,2896.3
Oregon,2020,1,3812,500.1,4312.1
Pennsylvania,2020,1,19266.4,2525.6,21792
Rhode Island,2020,1,2553.1,54.2,2607.3
South Carolina,2020,1,9543.3,651.4,10194.7
South Dakota,2020,1,217.1,30.8,247.9
Tennessee,2020,1,20101.3,644.8,20746.1
Texas,2020,1,56153.6,9374.4,65528
Utah,2020,1,3260.5,329.6,3590.1
Vermont,2020,1,501.4,220.4,721.8
Virginia,2020,1,6262.5,580.1,6842.6
Washington,2020,1,8218.3,3133.5,11351.8
West Virginia,2020,1,819.2,37.4,856.6
Wisconsin,2020,1,5849.4,409.1,6258.5
Wyoming,2020,1,140.3,176.7,317
District of Columbia,2020,1,73.6,40.1,113.7
Alabama,2019,4,6182.6,889.5,7072.1
Alaska,2019,4,612.6,37.6,650.2
Arizona,2019,4,5068.4,2286.2,7354.6
Arkansas,2019,4,2035.7,132.4,2168.1
California,2019,4,92207.2,11313.4,103520.6
Colorado,2019,4,2548.2,762.7,3310.9
Connecticut,2019,4,4805.1,631.6,5436.7
Delaware,2019,4,1861,734.6,2595.6
Florida,2019,4,16210.9,3987.8,20198.7
Georgia,2019,4,23877.8,1182.1,25059.9
Hawaii,2019,4,435.3,493,928.3
Idaho,2019,4,997.5,101.9,1099.4
Illinois,2019,4,33066.9,9828.7,42895.6
Indiana,2019,4,16298.8,816.6,17115.4
Iowa,2019,4,2056.1,237.8,2293.9
Kansas,2019,4,2499.1,443.9,2943
Kentucky,2019,4,12962.5,1730.5,14693
Louisiana,2019,4,4247.6,2104.4,6352
Maine,2019,4,1230.7,240.3,1471
Maryland,2019,4,8696.2,446.9,9143.1
Massachusetts,2019,4,7979.5,1270.7,9250.2
Michigan,2019,4,32260.2,2274.9,34535.1
Minnesota,2019,4,5556,1626.8,7182.8
Mississippi,2019,4,3709.9,306.8,4016.7
Missouri,2019,4,3902.3,866.7,4769
Montana,2019,4,189,878.3,1067.3
Nebraska,2019,4,867.6,62.3,929.9
Nevada,2019,4,2590,92.4,2682.4
New Hampshire,2019,4,2053.1,140.9,2194
New Jersey,2019,4,26580.2,3642.4,30222.6
New Mexico,2019,4,972.2,102.5,1074.7
New York,2019,4,27334.4,7462.5,34796.9
North Carolina,2019,4,13261.8,1347.4,14609.2
North Dakota,2019,4,470.9,245.6,716.5
Ohio,2019,4,15624,1468,17092
Oklahoma,2019,4,1779.1,1156.2,2935.3
Oregon,2019,4,4034.1,426,4460.1
Pennsylvania,2019,4,20416.7,1646.2,22062.9
Rhode Island,2019,4,2654.5,66.1,2720.6
South Carolina,2019,4,9691.9,721,10412.9
South Dakota,2019,4,238.7,28.8,267.5
Tennessee,2019,4,21817.1,683.7,22500.8
Texas,2019,4,60145.3,9160.2,69305.5
Utah,2019,4,3565.4,472.9,4038.3
Vermont,2019,4,587.5,187.4,774.9
Virginia,2019,4,7025.9,655.4,7681.3
Washington,2019,4,9989.6,3498.5,13488.1
West Virginia,2019,4,766.2,48.8,815
Wisconsin,2019,4,6818.9,386.2,7205.1
Wyoming,2019,4,130,139.8,269.8
District of Columbia,2019,4,109,22.8,131.8
Alabama,2019,3,6317.5,940.2,7257.7
Alaska,2019,3,522.4,84.6,607
Arizona,2019,3,5701.2,1125.8,6827
Arkansas,2019,3,2424.5,122.3,2546.8
California,2019,3,93687.3,11895.1,105582.4
Colorado,2019,3,2697.8,756.1,3453.9
Connecticut,2019,3,4487.4,627.8,5115.2
Delaware,2019,3,1145,1079.9,2224.9
Florida,2019,3,16568.3,3537,20105.3
Georgia,2019,3,25003.4,1268.3,26271.7
Hawaii,2019,3,607.4,419.7,1027.1
Idaho,2019,3,1112.3,105,1217.3
Illinois,2019,3,33492.1,10407.5,43899.6
Indiana,2019,3,14596.2,760.7,15356.9
Iowa,2019,3,2390.1,189.2,2579.3
Kansas,2019,3,2709.5,429.6,3139.1
Kentucky,2019,3,12959.1,1243.6,14202.7
Louisiana,2019,3,4524.4,2507.7,7032.1
Maine,2019,3,1108.1,197.7,1305.8
Maryland,2019,3,8437.8,409.8,8847.6
Massachusetts,2019,3,8507.5,1319.2,9826.7
Michigan,2019,3,33629.2,2513,36142.2
Minnesota,2019,3,5798.9,1784.2,7583.1
Mississippi,2019,3,3938.3,645.8,4584.1
Missouri,2019,3,4309.4,1048,5357.4
Montana,2019,3,249,1066.7,1315.7
Nebraska,2019,3,1033,56.7,1089.7
Nevada,2019,3,2640.2,111.1,2751.3
New Hampshire,2019,3,2092.5,113,2205.5
New Jersey,2019,3,28589.6,3448.8,32038.4
New Mexico,2019,3,1050,69.3,1119.3
New York,2019,3,28051.2,5323.9,33375.1
North Carolina,2019,3,16165.7,1445.7,17611.4
North Dakota,2019,3,588,279.1,867.1
Ohio,2019,3,16593.9,1365.7,17959.6
Oklahoma,2019,3,1972,1045.6,3017.6
Oregon,2019,3,4011.3,449.4,4460.7
Pennsylvania,2019,3,20100.2,1964.2,22064.4
Rhode Island,2019,3,3104.2,64.2,3168.4
South Carolina,2019,3,10482.5,551.4,11033.9
South Dakota,2019,3,272.4,29,301.4
Tennessee,2019,3,22248.6,591.6,22840.2
Texas,2019,3,64599.9,10079.7,74679.6
Utah,2019,3,3642.1,339.4,3981.5
Vermont,2019,3,737.3,206.4,943.7
Virginia,2019,3,7279.1,590,7869.1
Washington,2019,3,11184.9,3277.5,14462.4
West Virginia,2019,3,909,38.5,947.5
Wisconsin,2019,3,7366.2,297.8,7664
Wyoming,2019,3,170.2,195.6,365.8
District of Columbia,2019,3,97.3,26.4,123.7
Alabama,2019,2,6063.1,844.8,6907.9
Alaska,2019,2,527.1,77.6,604.7
Arizona,2019,2,4804.2,1837.9,6642.1
Arkansas,2019,2,2238.3,117,2355.3
California,2019,2,91888.1,12109.5,103997.6
Colorado,2019,2,2543.2,778.1,3321.3
Connecticut,2019,2,4267.4,618,4885.4
Delaware,2019,2,1417.3,1181.1,2598.4
Florida,2019,2,16859.9,3783.7,20643.6
Georgia,2019,2,24943.1,1049.6,25992.7
Hawaii,2019,2,491.9,473.1,965
Idaho,2019,2,1242.6,128.2,1370.8
Illinois,2019,2,31391.6,9941.8,41333.4
Indiana,2019,2,15264.5,894.1,16158.6
Iowa,2019,2,2382.5,258.1,2640.6
Kansas,2019,2,2727.5,426.4,3153.9
Kentucky,2019,2,12629.1,1618.6,14247.7
Louisiana,2019,2,4820.5,3368.8,8189.3
Maine,2019,2,682.2,276.7,958.9
Maryland,2019,2,8675.1,411.5,9086.6
Massachusetts,2019,2,7361.6,1464.7,8826.3
Michigan,2019,2,34923.5,2721.6,37645.1
Minnesota,2019,2,5727.7,2075.5,7803.2
Mississippi,2019,2,3798.1,800.9,4599
Missouri,2019,2,4193.2,1062.5,5255.7
Montana,2019,2,276.8,1026.8,1303.6
Nebraska,2019,2,1055.7,67.5,1123.2
Nevada,2019,2,2640.2,133.1,2773.3
New Hampshire,2019,2,3061.5,120.3,3181.8
New Jersey,2019,2,28923,3792.8,32715.8
New Mexico,2019,2,1048.9,114.2,1163.1
New York,2019,2,26524.8,5939.9,32464.7
North Carolina,2019,2,13579.1,439.2,14018.3
North Dakota,2019,2,622.2,360.3,982.5
Ohio,2019,2,16380.2,1216.9,17597.1
Oklahoma,2019,2,1996.2,1263.1,3259.3
Oregon,2019,2,4418.9,509.9,4928.8
Pennsylvania,2019,2,20883.7,3332.5,24216.2
Rhode Island,2019,2,2713.1,88.9,2802
South Carolina,2019,2,10187.1,562,10749.1
South Dakota,2019,2,269.7,34.6,304.3
Tennessee,2019,2,21237.5,667.9,21905.4
Texas,2019,2,64450,11954.3,76404.3
Utah,2019,2,3424.8,384.5,3809.3
Vermont,2019,2,620.9,205.8,826.7
Virginia,2019,2,7115.1,576.9,7692
Washington,2019,2,9490.9,3391.6,12882.5
West Virginia,2019,2,854.2,39.6,893.8
Wisconsin,2019,2,6465.7,320,6785.7
Wyoming,2019,2,210.3,373,583.3
District of Columbia,2019,2,97.1,60.9,158
Alabama,2019,1,6486.6,713.4,7200
Alaska,2019,1,410.5,22.1,432.6
Arizona,2019,1,4077,1650.4,5727.4
Arkansas,2019,1,2427,107.7,2534.7
California,2019,1,83483,11544.7,95027.7
Colorado,2019,1,2427,611,3038
Connecticut,2019,1,4042,597.9,4639.9
Delaware,2019,1,1330,770.8,2100.8
Florida,2019,1,16735.4,4059,20794.4
Georgia,2019,1,23903.4,914.3,24817.7
Hawaii,2019,1,464.7,399.2,863.9
Idaho,2019,1,1310.2,130.2,1440.4
Illinois,2019,1,28833.7,6891.7,35725.4
Indiana,2019,1,14841,949.2,15790.2
Iowa,2019,1,2302.1,257.6,2559.7
Kansas,2019,1,2557.6,387.7,2945.3
Kentucky,2019,1,12212,1524.7,13736.7
Louisiana,2019,1,4716.8,3078.6,7795.4
Maine,2019,1,650.4,257.8,908.2
Maryland,2019,1,8054.9,444.6,8499.5
Massachusetts,2019,1,7239.8,1327.2,8567
Michigan,2019,1,32128.9,1996.3,34125.2
Minnesota,2019,1,5673.4,1745.6,7419
